retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
5/3/2023 9:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,72,p2,32,1011,51,3.07,191
5/3/2023 9:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,53,p2,32,1012,62,2.57,220
5/3/2023 9:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,60,p2,32,1013,60,1.03,0
5/3/2023 9:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,65,p2,32,1013,74,1.03,0
5/3/2023 9:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,84,p2,31,1011,51,2.95,196
5/3/2023 9:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,110,p2,31,1011,51,3.02,189
5/3/2023 9:18:32,TH-16,Ban Mi,Lop Buri,Thailand,93,p2,35,1011,52,3.45,185
5/3/2023 9:19:03,TH-20,Na Kluea,Chon Buri,Thailand,76,p2,30,1012,67,3.26,204
5/3/2023 9:19:34,TH-21,Ban Khai,Rayong,Thailand,74,p2,30,1012,82,2.76,194
5/3/2023 9:20:05,TH-50,Chiang Mai,Chiang Mai,Thailand,76,p2,30,987,63,1.54,0
5/3/2023 9:20:37,TH-52,Hang Chat,Lampang,Thailand,152,p2,30,1013,64,0.56,152
5/3/2023 10:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,72,p2,35,1011,47,3.63,196
5/3/2023 10:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,52,p2,34,1013,55,1.54,250
5/3/2023 10:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,62,p2,34,1013,57,2.06,170
5/3/2023 10:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,60,p2,34,1013,74,2.06,170
5/3/2023 10:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,80,p2,33,1011,44,3.2,198
5/3/2023 10:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,117,p2,32,1011,45,3.26,194
